,All eigenvalues Square,Eigenvalues of minima,Minima,Other Info,Ratio of roots,Real Roots,Sum Square Root
0,[-135365.259289    218760.57959491  306282.06930601],[313.27257231 597.32351285 765.7280164 ],[-20.29802 166.36403 -91.17408],Cost Function Min,[ 0.22262928 -1.82468559  1.        ],[-119.55956  -65.56005  -77.7281 ],190.7923293992914
1,[ 98139.70456168 356795.37900908 586339.39510542],[313.27257231 597.32351285 765.7280164 ],[  20.29802 -166.36403   91.17408],-98069.91223228018,[-0.12200967  1.         -0.54803962],[-20.29802 166.36403 -91.17408],190.7923293992914
2,[ 112970.74027457 -139713.69282442 -293257.04745015],,,,,[0. 0. 0.],
3,[ 98139.70456168 356795.37900908 586339.39510542],,,Global Minima,,[  20.29802 -166.36403   91.17408],
4,[-135365.259289    218760.57959491  306282.06930601],,,[-20.29802 166.36403 -91.17408],,[119.55956  65.56005  77.7281 ],
5,,,,,,,
6,,,,Time Taken,,,
7,,,,13.512226819992065,,,
8,,,,,,,
9,,,,Number of Real Roots Found,,,
10,,,,5,,,
11,,,,,,,
12,,,,Number of Minima,,,
13,,,,2,,,
